C,Gamma,Degree,KFold_Accuracy
0.2,0.5,1.0,0.7779999999999999
0.2,0.5,2.0,0.546
0.2,0.5,3.0,0.5126666666666667
0.2,0.8571428571428572,1.0,0.7973333333333332
0.2,0.8571428571428572,2.0,0.7213333333333334
0.2,0.8571428571428572,3.0,0.588
0.2,1.2142857142857144,1.0,0.7959999999999999
0.2,1.2142857142857144,2.0,0.768
0.2,1.2142857142857144,3.0,0.7100000000000002
0.2,1.5714285714285714,1.0,0.7993333333333333
0.2,1.5714285714285714,2.0,0.7913333333333332
0.2,1.5714285714285714,3.0,0.762
0.2,1.9285714285714286,1.0,0.808
0.2,1.9285714285714286,2.0,0.8013333333333333
0.2,1.9285714285714286,3.0,0.7833333333333333
0.2,2.2857142857142856,1.0,0.8126666666666666
0.2,2.2857142857142856,2.0,0.806
0.2,2.2857142857142856,3.0,0.7973333333333334
0.2,2.642857142857143,1.0,0.8146666666666667
0.2,2.642857142857143,2.0,0.8046666666666666
0.2,2.642857142857143,3.0,0.796
0.2,3.0,1.0,0.8140000000000001
0.2,3.0,2.0,0.8173333333333334
0.2,3.0,3.0,0.8
0.30000000000000004,0.5,1.0,0.7886666666666666
0.30000000000000004,0.5,2.0,0.6559999999999999
0.30000000000000004,0.5,3.0,0.4726666666666667
0.30000000000000004,0.8571428571428572,1.0,0.7986666666666666
0.30000000000000004,0.8571428571428572,2.0,0.7533333333333333
0.30000000000000004,0.8571428571428572,3.0,0.6626666666666666
0.30000000000000004,1.2142857142857144,1.0,0.8133333333333332
0.30000000000000004,1.2142857142857144,2.0,0.7793333333333333
0.30000000000000004,1.2142857142857144,3.0,0.7346666666666668
0.30000000000000004,1.5714285714285714,1.0,0.8026666666666668
0.30000000000000004,1.5714285714285714,2.0,0.8006666666666667
0.30000000000000004,1.5714285714285714,3.0,0.7780000000000001
0.30000000000000004,1.9285714285714286,1.0,0.8006666666666667
0.30000000000000004,1.9285714285714286,2.0,0.8053333333333335
0.30000000000000004,1.9285714285714286,3.0,0.7933333333333332
0.30000000000000004,2.2857142857142856,1.0,0.8039999999999999
0.30000000000000004,2.2857142857142856,2.0,0.8133333333333332
0.30000000000000004,2.2857142857142856,3.0,0.8006666666666666
0.30000000000000004,2.642857142857143,1.0,0.808
0.30000000000000004,2.642857142857143,2.0,0.8133333333333332
0.30000000000000004,2.642857142857143,3.0,0.7986666666666666
0.30000000000000004,3.0,1.0,0.8046666666666666
0.30000000000000004,3.0,2.0,0.8153333333333335
0.30000000000000004,3.0,3.0,0.7966666666666666
0.4,0.5,1.0,0.7973333333333333
0.4,0.5,2.0,0.6966666666666667
0.4,0.5,3.0,0.5126666666666667
0.4,0.8571428571428572,1.0,0.8073333333333335
0.4,0.8571428571428572,2.0,0.7606666666666667
0.4,0.8571428571428572,3.0,0.6853333333333333
0.4,1.2142857142857144,1.0,0.8053333333333332
0.4,1.2142857142857144,2.0,0.7979999999999999
0.4,1.2142857142857144,3.0,0.7546666666666667
0.4,1.5714285714285714,1.0,0.8059999999999998
0.4,1.5714285714285714,2.0,0.8019999999999999
0.4,1.5714285714285714,3.0,0.7846666666666666
0.4,1.9285714285714286,1.0,0.8073333333333335
0.4,1.9285714285714286,2.0,0.8173333333333332
0.4,1.9285714285714286,3.0,0.7946666666666667
0.4,2.2857142857142856,1.0,0.8186666666666668
0.4,2.2857142857142856,2.0,0.8053333333333332
0.4,2.2857142857142856,3.0,0.8046666666666666
0.4,2.642857142857143,1.0,0.8053333333333335
0.4,2.642857142857143,2.0,0.8086666666666666
0.4,2.642857142857143,3.0,0.7993333333333332
0.4,3.0,1.0,0.8119999999999999
0.4,3.0,2.0,0.8093333333333333
0.4,3.0,3.0,0.7966666666666666
0.5,0.5,1.0,0.7993333333333333
0.5,0.5,2.0,0.7153333333333334
0.5,0.5,3.0,0.528
0.5,0.8571428571428572,1.0,0.8053333333333332
0.5,0.8571428571428572,2.0,0.7753333333333333
0.5,0.8571428571428572,3.0,0.7053333333333334
0.5,1.2142857142857144,1.0,0.8100000000000002
0.5,1.2142857142857144,2.0,0.8013333333333333
0.5,1.2142857142857144,3.0,0.7666666666666667
0.5,1.5714285714285714,1.0,0.8026666666666668
0.5,1.5714285714285714,2.0,0.8033333333333333
0.5,1.5714285714285714,3.0,0.7913333333333334
